Month,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
Apr,Lexus,Rural,Tuesday,Feb,3,Female,Widow,38,Policy Holder,Sedan - All Perils,Sport,30000 to 39000,23670,9,500,3,more than 30,8 to 15,none,5 years,16 to 17,Yes,Yes,Internal,more than 5,no change,1 vehicle,All Perils
Jul,Lexus,Rural,Saturday,Jul,1,Female,Divorced,33,Third Party,Sport - All Perils,Sport,more than 69000,53331,4,300,2,8 to 15,8 to 15,none,7 years,26 to 30,No,No,External,1 to 2,2 to 3 years,1 vehicle,Collision
Jan,Mercury,Urban,Saturday,Aug,5,Female,Divorced,47,Third Party,Sedan - Collision,Utility,30000 to 39000,39160,7,300,1,15 to 30,none,more than 4,new,31 to 35,Yes,Yes,Internal,none,under 6 months,5 to 8,Liability
Oct,Mercury,Urban,Monday,Apr,2,Male,Widow,36,Third Party,Utility - Collision,Sedan,30000 to 39000,94194,9,400,4,8 to 15,more than 30,more than 4,more than 7,18 to 20,Yes,No,External,1 to 2,no change,more than 8,Collision
Dec,Dodge,Urban,Saturday,Jan,5,Female,Married,21,Third Party,Sport - Collision,Sport,less than 20000,20174,4,500,4,1 to 7,8 to 15,more than 4,6 years,over 65,No,Yes,External,none,4 to 8 years,1 vehicle,All Perils
Oct,Nisson,Urban,Wednesday,Apr,1,Male,Divorced,28,Policy Holder,Sedan - Collision,Sport,40000 to 59000,64592,5,500,1,1 to 7,none,none,5 years,over 65,No,Yes,External,more than 5,2 to 3 years,2 vehicles,All Perils
Jun,Mazda,Urban,Wednesday,Oct,1,Male,Widow,42,Third Party,Sport - Collision,Utility,30000 to 39000,67954,5,700,4,none,none,none,3 years,16 to 17,Yes,Yes,External,more than 5,under 6 months,1 vehicle,Liability
Dec,Mazda,Rural,Sunday,Jun,2,Female,Single,17,Policy Holder,Utility - Collision,Sport,30000 to 39000,44083,6,400,1,15 to 30,15 to 30,none,3 years,26 to 30,Yes,Yes,Internal,1 to 2,2 to 3 years,3 to 4,All Perils
Jan,Pontiac,Urban,Sunday,Apr,5,Male,Single,65,Policy Holder,Sport - Collision,Utility,40000 to 59000,89279,4,700,1,more than 30,8 to 15,2 to 4,5 years,26 to 30,No,No,Internal,more than 5,1 year,1 vehicle,Liability
Feb,Dodge,Urban,Friday,Aug,3,Male,Married,32,Third Party,Sport - Collision,Sport,20000 to 29000,47391,8,500,2,none,8 to 15,1,3 years,51 to 65,No,No,Internal,none,1 year,more than 8,All Perils
Mar,Pontiac,Urban,Saturday,Mar,5,Male,Married,56,Third Party,Utility - All Perils,Sport,30000 to 39000,27650,6,500,4,none,8 to 15,1,3 years,26 to 30,Yes,Yes,Internal,more than 5,no change,1 vehicle,Liability
Aug,Porche,Rural,Thursday,Oct,1,Male,Widow,29,Third Party,Utility - Collision,Sedan,less than 20000,88842,3,300,2,8 to 15,15 to 30,1,2 years,21 to 25,No,No,External,1 to 2,1 year,5 to 8,All Perils
Mar,VW,Urban,Sunday,Jan,4,Female,Single,31,Third Party,Sport - Liability,Sedan,more than 69000,53271,8,400,4,more than 30,15 to 30,more than 4,6 years,18 to 20,No,No,External,more than 5,no change,more than 8,Collision
Feb,Ford,Urban,Friday,Jul,2,Female,Single,55,Third Party,Sport - Collision,Utility,less than 20000,67129,2,400,4,more than 30,8 to 15,2 to 4,5 years,21 to 25,Yes,Yes,Internal,3 to 5,4 to 8 years,1 vehicle,Collision
Mar,Ford,Urban,Saturday,Jun,5,Male,Single,51,Policy Holder,Utility - All Perils,Sport,40000 to 59000,60881,4,500,2,none,8 to 15,2 to 4,7 years,51 to 65,Yes,Yes,Internal,1 to 2,1 year,2 vehicles,Liability
May,VW,Urban,Tuesday,Jan,3,Male,Widow,57,Policy Holder,Sport - Liability,Sedan,20000 to 29000,80665,8,300,3,1 to 7,8 to 15,2 to 4,new,26 to 30,Yes,Yes,Internal,none,under 6 months,1 vehicle,Collision
Feb,Pontiac,Urban,Monday,Sep,5,Female,Single,21,Third Party,Sport - All Perils,Sedan,20000 to 29000,85007,5,500,4,more than 30,15 to 30,2 to 4,2 years,51 to 65,No,No,External,none,1 year,3 to 4,Collision
Sep,Ford,Urban,Sunday,Nov,4,Female,Divorced,54,Third Party,Utility - Collision,Sedan,30000 to 39000,82702,7,500,1,more than 30,15 to 30,1,3 years,16 to 17,No,No,Internal,none,1 year,1 vehicle,Liability
Sep,Accura,Urban,Thursday,Nov,5,Male,Divorced,64,Policy Holder,Utility - Liability,Sedan,30000 to 39000,90340,4,400,3,15 to 30,none,2 to 4,3 years,36 to 40,Yes,Yes,External,1 to 2,1 year,2 vehicles,Liability
Jan,Saturn,Urban,Saturday,Dec,3,Male,Widow,18,Third Party,Sedan - Collision,Sport,60000 to 69000,75814,6,500,1,15 to 30,more than 30,more than 4,7 years,41 to 50,Yes,Yes,Internal,more than 5,4 to 8 years,1 vehicle,Liability
Jun,BMW,Urban,0,Apr,1,Male,Single,59,Policy Holder,Sport - Collision,Sedan,less than 20000,83165,8,300,2,8 to 15,15 to 30,none,6 years,31 to 35,Yes,No,External,1 to 2,2 to 3 years,2 vehicles,Liability
Mar,Mercury,Rural,Thursday,Aug,5,Male,Married,76,Policy Holder,Sedan - Collision,Sport,less than 20000,42739,5,500,3,8 to 15,more than 30,2 to 4,7 years,26 to 30,No,Yes,External,1 to 2,1 year,5 to 8,All Perils
Nov,Porche,Urban,Friday,Jul,2,Male,Divorced,18,Policy Holder,Utility - All Perils,Sport,20000 to 29000,31388,9,700,1,none,8 to 15,1,6 years,36 to 40,Yes,No,External,more than 5,under 6 months,1 vehicle,Liability
Feb,Mercury,Rural,Sunday,Apr,5,Female,Single,36,Third Party,Sport - All Perils,Utility,60000 to 69000,74593,9,500,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,Internal,none,under 6 months,1 vehicle,Collision
Sep,Porche,Urban,Monday,Mar,4,Female,Single,24,Third Party,Sedan - Liability,Sedan,more than 69000,73719,1,400,3,15 to 30,15 to 30,2 to 4,5 years,16 to 17,Yes,Yes,Internal,more than 5,1 year,1 vehicle,Liability
Jun,VW,Rural,Monday,Aug,4,Female,Divorced,58,Policy Holder,Sedan - All Perils,Utility,more than 69000,51819,6,300,1,none,more than 30,1,7 years,31 to 35,Yes,No,Internal,more than 5,4 to 8 years,3 to 4,Liability
Aug,BMW,Urban,Friday,May,3,Female,Single,67,Policy Holder,Sport - Collision,Utility,less than 20000,31112,8,300,2,15 to 30,more than 30,2 to 4,more than 7,18 to 20,Yes,Yes,External,1 to 2,1 year,1 vehicle,All Perils
Jun,Toyota,Urban,Friday,0,5,Male,Married,65,Policy Holder,Sedan - All Perils,Sport,60000 to 69000,65845,4,700,3,15 to 30,15 to 30,none,5 years,26 to 30,No,No,External,1 to 2,1 year,more than 8,Collision
Apr,Chevrolet,Rural,Wednesday,0,2,Male,Single,66,Policy Holder,Sport - Liability,Utility,more than 69000,81433,5,400,4,15 to 30,none,none,7 years,41 to 50,Yes,Yes,Internal,3 to 5,under 6 months,3 to 4,Liability
Oct,Honda,Urban,Monday,May,2,Male,Widow,72,Policy Holder,Sport - Collision,Sport,20000 to 29000,11051,8,700,4,8 to 15,8 to 15,more than 4,more than 7,36 to 40,No,Yes,Internal,more than 5,4 to 8 years,5 to 8,Liability
Nov,Jaguar,Urban,Thursday,Aug,1,Female,Divorced,17,Policy Holder,Utility - Collision,Sedan,30000 to 39000,66648,4,400,2,1 to 7,8 to 15,2 to 4,more than 7,31 to 35,No,No,External,1 to 2,1 year,2 vehicles,Collision
May,Lexus,Rural,Saturday,Dec,3,Female,Married,50,Third Party,Sport - Liability,Sport,30000 to 39000,40022,9,400,2,15 to 30,more than 30,more than 4,4 years,31 to 35,Yes,No,Internal,3 to 5,no change,3 to 4,Liability
May,Chevrolet,Urban,Tuesday,Feb,4,Female,Single,55,Policy Holder,Utility - Liability,Sport,more than 69000,38863,5,700,3,none,none,none,2 years,51 to 65,Yes,Yes,Internal,1 to 2,2 to 3 years,2 vehicles,All Perils
Jan,Mazda,Urban,Wednesday,Jan,3,Male,Widow,77,Third Party,Utility - Liability,Utility,30000 to 39000,22364,4,700,1,8 to 15,8 to 15,more than 4,5 years,31 to 35,Yes,Yes,Internal,1 to 2,4 to 8 years,more than 8,Collision
Feb,Toyota,Rural,Tuesday,0,2,Male,Married,38,Policy Holder,Sedan - Liability,Utility,60000 to 69000,60707,6,400,2,none,15 to 30,more than 4,4 years,31 to 35,Yes,No,Internal,more than 5,under 6 months,1 vehicle,Collision
Jan,Pontiac,Rural,0,Dec,1,Male,Married,40,Policy Holder,Utility - Liability,Sport,20000 to 29000,50013,7,500,2,15 to 30,15 to 30,2 to 4,4 years,31 to 35,No,Yes,Internal,1 to 2,under 6 months,1 vehicle,Collision
May,Jaguar,Rural,Wednesday,May,3,Female,Single,29,Policy Holder,Sedan - Liability,Utility,30000 to 39000,54313,2,700,1,15 to 30,more than 30,2 to 4,new,41 to 50,Yes,No,Internal,3 to 5,no change,5 to 8,All Perils
Jun,Mecedes,Urban,Friday,Jan,5,Female,Single,49,Policy Holder,Sedan - All Perils,Sport,20000 to 29000,94693,9,300,1,none,8 to 15,1,7 years,26 to 30,Yes,Yes,Internal,more than 5,4 to 8 years,more than 8,All Perils
Feb,Lexus,Rural,Thursday,Nov,3,Male,Widow,32,Third Party,Sport - All Perils,Sport,more than 69000,16225,2,500,1,none,8 to 15,2 to 4,6 years,21 to 25,Yes,No,External,none,1 year,5 to 8,Collision
Jun,Honda,Rural,Sunday,Mar,4,Male,Divorced,64,Third Party,Sedan - All Perils,Sport,less than 20000,17010,8,300,3,15 to 30,more than 30,none,6 years,51 to 65,Yes,Yes,Internal,none,1 year,more than 8,Collision
May,Mercury,Urban,Sunday,Jul,5,Male,Married,50,Third Party,Utility - Collision,Sport,20000 to 29000,28816,1,400,1,15 to 30,more than 30,1,7 years,51 to 65,Yes,No,Internal,3 to 5,under 6 months,3 to 4,Liability
Jul,Toyota,Urban,Tuesday,Apr,3,Female,Married,31,Third Party,Sport - All Perils,Utility,30000 to 39000,82805,6,300,1,1 to 7,8 to 15,none,5 years,51 to 65,No,Yes,External,1 to 2,4 to 8 years,more than 8,Collision
Oct,Saturn,Rural,Saturday,Feb,2,Female,Divorced,37,Policy Holder,Sport - Collision,Sport,20000 to 29000,90151,8,300,4,1 to 7,15 to 30,none,2 years,31 to 35,No,No,External,1 to 2,under 6 months,1 vehicle,All Perils
Jun,Mercury,Rural,Tuesday,Sep,3,Male,Married,69,Policy Holder,Sport - All Perils,Sedan,less than 20000,66308,9,500,4,none,more than 30,none,4 years,36 to 40,Yes,Yes,External,3 to 5,under 6 months,5 to 8,Collision
Feb,Saab,Urban,0,Oct,5,Male,Divorced,45,Third Party,Sedan - All Perils,Utility,more than 69000,26878,8,500,3,15 to 30,15 to 30,more than 4,7 years,over 65,No,No,Internal,none,2 to 3 years,1 vehicle,All Perils
Jan,Accura,Rural,Sunday,Dec,3,Female,Married,0,Third Party,Sport - Collision,Utility,30000 to 39000,69863,9,300,2,more than 30,8 to 15,none,3 years,31 to 35,Yes,Yes,External,1 to 2,no change,2 vehicles,Liability
Mar,Mazda,Urban,Wednesday,0,1,Male,Single,76,Third Party,Sport - All Perils,Utility,60000 to 69000,12720,9,400,1,more than 30,none,more than 4,more than 7,36 to 40,Yes,No,Internal,3 to 5,1 year,1 vehicle,Collision
Dec,Dodge,Rural,Monday,Jun,2,Female,Single,69,Third Party,Sedan - All Perils,Utility,20000 to 29000,43334,2,700,4,more than 30,15 to 30,none,3 years,31 to 35,No,No,Internal,more than 5,4 to 8 years,2 vehicles,Liability
Jan,Jaguar,Urban,Tuesday,Feb,2,Female,Widow,31,Policy Holder,Sport - Collision,Utility,20000 to 29000,25280,1,300,4,15 to 30,more than 30,more than 4,5 years,21 to 25,No,No,Internal,none,under 6 months,more than 8,Liability
Apr,Nisson,Rural,Sunday,Jun,2,Male,Divorced,42,Policy Holder,Sport - All Perils,Utility,more than 69000,75426,1,500,2,more than 30,none,none,4 years,31 to 35,Yes,No,External,3 to 5,under 6 months,3 to 4,Liability
May,Honda,Rural,Tuesday,Sep,5,Male,Widow,45,Third Party,Utility - Liability,Utility,20000 to 29000,14623,1,700,1,8 to 15,15 to 30,1,2 years,26 to 30,Yes,Yes,Internal,none,2 to 3 years,5 to 8,Liability
Aug,VW,Rural,Saturday,Aug,3,Male,Single,41,Third Party,Sedan - All Perils,Sedan,less than 20000,47060,5,500,4,15 to 30,8 to 15,none,3 years,51 to 65,No,Yes,External,1 to 2,4 to 8 years,1 vehicle,Collision
May,Saturn,Rural,Wednesday,0,5,Female,Divorced,61,Third Party,Utility - Liability,Utility,20000 to 29000,31678,6,300,2,1 to 7,15 to 30,more than 4,new,16 to 17,Yes,No,External,1 to 2,2 to 3 years,1 vehicle,Collision
Jan,Toyota,Urban,Thursday,Mar,1,Female,Widow,51,Policy Holder,Utility - Collision,Sport,60000 to 69000,50854,8,300,2,15 to 30,15 to 30,1,new,16 to 17,No,Yes,Internal,more than 5,4 to 8 years,2 vehicles,Collision
Jul,Honda,Rural,0,Oct,1,Male,Widow,67,Policy Holder,Sport - Collision,Sport,30000 to 39000,80314,8,400,4,1 to 7,more than 30,none,2 years,21 to 25,Yes,Yes,External,3 to 5,1 year,5 to 8,Collision
May,Porche,Urban,0,Jan,1,Female,Single,27,Policy Holder,Sedan - Liability,Utility,20000 to 29000,40211,4,400,1,15 to 30,none,none,more than 7,31 to 35,Yes,Yes,Internal,more than 5,1 year,5 to 8,All Perils
Feb,Porche,Urban,Friday,Sep,1,Female,Divorced,44,Policy Holder,Sport - Liability,Utility,more than 69000,72882,3,400,1,none,more than 30,more than 4,7 years,21 to 25,Yes,Yes,Internal,3 to 5,no change,1 vehicle,Liability
Jul,BMW,Urban,0,Mar,1,Male,Divorced,53,Third Party,Sedan - Liability,Utility,60000 to 69000,46793,4,300,1,more than 30,none,more than 4,4 years,51 to 65,Yes,Yes,Internal,1 to 2,no change,1 vehicle,All Perils
Oct,Dodge,Urban,Tuesday,Oct,1,Male,Married,0,Third Party,Sport - Collision,Sport,30000 to 39000,91583,3,700,3,1 to 7,15 to 30,1,5 years,31 to 35,No,Yes,Internal,3 to 5,1 year,1 vehicle,Liability
Oct,Chevrolet,Rural,Wednesday,Oct,4,Female,Married,42,Policy Holder,Sport - Liability,Sport,less than 20000,49858,1,500,2,more than 30,8 to 15,more than 4,3 years,36 to 40,Yes,Yes,External,3 to 5,under 6 months,more than 8,All Perils
Sep,Toyota,Rural,Tuesday,Jul,1,Male,Widow,39,Third Party,Sport - All Perils,Sedan,more than 69000,94993,2,400,1,more than 30,none,more than 4,4 years,21 to 25,Yes,No,Internal,1 to 2,1 year,1 vehicle,Collision
Mar,Ferrari,Urban,0,Aug,3,Female,Single,33,Policy Holder,Utility - All Perils,Sedan,60000 to 69000,69178,6,700,3,none,more than 30,more than 4,6 years,16 to 17,No,Yes,External,more than 5,2 to 3 years,2 vehicles,All Perils
Dec,Nisson,Urban,Friday,May,1,Male,Widow,60,Policy Holder,Sport - Collision,Sedan,20000 to 29000,70559,7,300,2,8 to 15,8 to 15,2 to 4,7 years,26 to 30,No,Yes,External,more than 5,under 6 months,2 vehicles,All Perils
Aug,VW,Urban,Thursday,Jan,5,Female,Single,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,16507,2,700,3,more than 30,more than 30,1,7 years,over 65,No,Yes,Internal,3 to 5,under 6 months,2 vehicles,All Perils
Apr,Accura,Rural,Tuesday,Mar,1,Female,Widow,30,Third Party,Sport - Liability,Utility,30000 to 39000,13819,2,400,1,15 to 30,8 to 15,1,2 years,51 to 65,Yes,No,Internal,1 to 2,2 to 3 years,5 to 8,Collision
Jul,Nisson,Rural,Wednesday,0,3,Female,Divorced,23,Policy Holder,Utility - All Perils,Sedan,more than 69000,11323,2,500,3,more than 30,8 to 15,more than 4,3 years,26 to 30,No,No,Internal,none,1 year,more than 8,Collision
Jul,Honda,Rural,Sunday,Jun,4,Male,Divorced,19,Third Party,Sport - Collision,Utility,60000 to 69000,52789,6,400,1,15 to 30,more than 30,none,7 years,21 to 25,No,No,External,1 to 2,under 6 months,5 to 8,Liability
Nov,Mercury,Urban,Monday,Feb,5,Female,Divorced,42,Policy Holder,Sedan - Collision,Sport,40000 to 59000,73520,2,500,1,1 to 7,more than 30,more than 4,6 years,21 to 25,No,Yes,Internal,more than 5,4 to 8 years,2 vehicles,Liability
Jan,Saturn,Urban,Wednesday,Oct,5,Male,Widow,74,Third Party,Sedan - Collision,Sedan,20000 to 29000,52835,1,500,1,15 to 30,15 to 30,1,3 years,16 to 17,No,No,Internal,more than 5,4 to 8 years,3 to 4,Collision
Mar,Ferrari,Rural,Thursday,Jun,1,Female,Married,31,Policy Holder,Sedan - Collision,Sport,less than 20000,73467,6,300,1,none,more than 30,1,more than 7,51 to 65,No,Yes,External,1 to 2,no change,more than 8,Liability
Nov,Dodge,Urban,Monday,Apr,5,Male,Single,65,Third Party,Sedan - Collision,Utility,less than 20000,76311,5,500,1,1 to 7,more than 30,1,4 years,over 65,No,No,External,none,no change,3 to 4,Collision
Jul,Mecedes,Urban,Saturday,May,1,Male,Divorced,35,Policy Holder,Sedan - Liability,Sedan,20000 to 29000,40692,5,300,1,none,15 to 30,2 to 4,more than 7,51 to 65,Yes,Yes,Internal,3 to 5,2 to 3 years,2 vehicles,Liability
May,Pontiac,Rural,Sunday,Mar,2,Female,Widow,63,Policy Holder,Sedan - All Perils,Sedan,60000 to 69000,78285,2,700,4,8 to 15,8 to 15,1,7 years,18 to 20,No,No,Internal,none,4 to 8 years,3 to 4,Liability
Jul,Saturn,Urban,Sunday,Feb,2,Male,Married,24,Third Party,Sedan - Liability,Utility,less than 20000,21372,4,300,2,none,more than 30,more than 4,7 years,26 to 30,No,No,Internal,3 to 5,2 to 3 years,1 vehicle,Collision
Dec,VW,Rural,Saturday,Sep,1,Male,Divorced,64,Policy Holder,Sport - Liability,Sedan,60000 to 69000,59051,6,700,4,8 to 15,8 to 15,none,6 years,over 65,Yes,No,External,none,under 6 months,5 to 8,Liability
Dec,Nisson,Rural,Thursday,Sep,5,Female,Divorced,70,Policy Holder,Utility - Collision,Utility,40000 to 59000,71963,7,300,4,none,more than 30,none,4 years,16 to 17,No,Yes,Internal,3 to 5,no change,5 to 8,Liability
Jan,Toyota,Urban,Thursday,0,1,Female,Married,66,Third Party,Utility - Collision,Utility,less than 20000,67722,2,500,1,1 to 7,more than 30,1,5 years,31 to 35,Yes,Yes,External,none,4 to 8 years,3 to 4,Collision
Jan,Lexus,Rural,Sunday,Oct,1,Female,Widow,45,Policy Holder,Utility - All Perils,Sport,60000 to 69000,52054,8,500,3,more than 30,none,2 to 4,2 years,over 65,No,No,External,more than 5,4 to 8 years,5 to 8,Liability
May,Chevrolet,Urban,Friday,Jun,2,Male,Married,73,Third Party,Sport - Liability,Sedan,less than 20000,92011,9,500,4,none,15 to 30,2 to 4,7 years,16 to 17,Yes,Yes,Internal,1 to 2,no change,1 vehicle,Collision
Dec,BMW,Rural,Friday,Apr,2,Female,Married,51,Policy Holder,Sport - Collision,Sedan,60000 to 69000,88367,2,400,1,none,none,2 to 4,new,36 to 40,No,Yes,External,none,1 year,1 vehicle,All Perils
Nov,Saturn,Urban,Friday,May,5,Female,Married,63,Third Party,Sport - Collision,Utility,20000 to 29000,57422,8,400,3,none,8 to 15,2 to 4,3 years,21 to 25,Yes,Yes,External,none,under 6 months,2 vehicles,All Perils
Nov,Pontiac,Rural,Wednesday,Aug,2,Male,Widow,28,Policy Holder,Sport - Liability,Sport,more than 69000,16476,2,300,4,8 to 15,15 to 30,1,more than 7,26 to 30,Yes,No,Internal,none,no change,5 to 8,All Perils
Jan,Nisson,Rural,Wednesday,Sep,5,Male,Married,31,Policy Holder,Sport - Collision,Sedan,20000 to 29000,56566,6,500,3,1 to 7,more than 30,more than 4,6 years,16 to 17,No,Yes,External,more than 5,no change,more than 8,Collision
Oct,Accura,Rural,Friday,Oct,5,Male,Single,49,Third Party,Utility - All Perils,Sedan,30000 to 39000,97619,3,300,4,8 to 15,15 to 30,none,6 years,31 to 35,No,Yes,External,3 to 5,under 6 months,1 vehicle,Liability
Mar,Nisson,Urban,Friday,Mar,3,Male,Married,50,Third Party,Sedan - All Perils,Sport,60000 to 69000,13266,4,700,1,none,15 to 30,1,5 years,26 to 30,Yes,Yes,Internal,3 to 5,4 to 8 years,3 to 4,Liability
Jan,Saturn,Rural,Monday,Mar,4,Male,Married,40,Third Party,Sedan - Liability,Sport,40000 to 59000,64852,7,400,3,1 to 7,more than 30,1,4 years,36 to 40,Yes,Yes,External,1 to 2,2 to 3 years,3 to 4,Collision
Jul,Pontiac,Urban,Wednesday,Jun,5,Male,Single,74,Policy Holder,Sedan - Collision,Utility,20000 to 29000,75046,7,400,2,1 to 7,none,1,6 years,26 to 30,Yes,No,Internal,none,no change,2 vehicles,Collision
Aug,Dodge,Rural,Thursday,Jan,2,Female,Single,20,Third Party,Utility - Liability,Utility,20000 to 29000,18172,4,400,2,15 to 30,15 to 30,2 to 4,5 years,51 to 65,No,No,Internal,1 to 2,1 year,5 to 8,All Perils
May,Lexus,Rural,Friday,Mar,3,Female,Single,67,Policy Holder,Sedan - Collision,Utility,less than 20000,18921,4,700,1,15 to 30,none,none,4 years,16 to 17,No,Yes,Internal,1 to 2,4 to 8 years,3 to 4,Collision
Jul,Lexus,Rural,Thursday,Apr,5,Male,Widow,39,Policy Holder,Sport - All Perils,Utility,60000 to 69000,65189,2,300,4,15 to 30,15 to 30,2 to 4,7 years,21 to 25,Yes,No,Internal,1 to 2,2 to 3 years,1 vehicle,Liability
Jul,Jaguar,Rural,Saturday,Apr,1,Female,Divorced,17,Third Party,Sport - All Perils,Sedan,20000 to 29000,84924,4,400,4,15 to 30,none,2 to 4,5 years,21 to 25,No,No,External,3 to 5,under 6 months,3 to 4,Collision
Apr,Ford,Urban,Tuesday,Sep,2,Male,Single,44,Third Party,Sport - All Perils,Sedan,less than 20000,31238,8,700,1,1 to 7,8 to 15,more than 4,5 years,31 to 35,No,No,External,more than 5,2 to 3 years,5 to 8,Liability
Nov,Accura,Rural,Friday,Nov,2,Male,Widow,16,Third Party,Sport - Liability,Sedan,40000 to 59000,92822,2,300,4,1 to 7,more than 30,1,more than 7,21 to 25,Yes,No,External,more than 5,1 year,5 to 8,Liability
Feb,Saturn,Urban,Friday,0,3,Female,Divorced,64,Third Party,Sport - Collision,Sedan,less than 20000,72601,9,700,3,1 to 7,8 to 15,none,3 years,16 to 17,No,Yes,Internal,3 to 5,no change,5 to 8,Collision
Jun,Nisson,Rural,Saturday,Dec,3,Male,Widow,69,Policy Holder,Sedan - Liability,Sedan,30000 to 39000,43454,5,400,3,more than 30,8 to 15,2 to 4,more than 7,31 to 35,No,Yes,Internal,3 to 5,under 6 months,5 to 8,All Perils
Apr,Ford,Urban,Monday,Nov,1,Female,Divorced,52,Third Party,Utility - Collision,Sport,60000 to 69000,28414,6,700,3,15 to 30,15 to 30,2 to 4,4 years,41 to 50,No,Yes,External,more than 5,1 year,1 vehicle,All Perils
Nov,Pontiac,Rural,Friday,Feb,1,Female,Widow,63,Policy Holder,Sport - Liability,Sedan,more than 69000,68715,2,700,2,none,15 to 30,more than 4,2 years,16 to 17,No,No,Internal,more than 5,1 year,1 vehicle,All Perils
Nov,Honda,Rural,Sunday,Apr,2,Female,Married,69,Third Party,Utility - All Perils,Utility,30000 to 39000,21043,4,400,4,1 to 7,15 to 30,1,4 years,41 to 50,Yes,Yes,Internal,1 to 2,2 to 3 years,more than 8,Liability
Apr,Pontiac,Rural,0,Mar,1,Male,Single,42,Third Party,Sedan - Liability,Sport,more than 69000,78746,9,400,3,8 to 15,none,more than 4,2 years,over 65,No,Yes,Internal,3 to 5,no change,2 vehicles,Liability
